id,sourceIndex,decision,practicePool,keeperId,section,domain,skill,topic,correctAnswer,explanationWords,distractorCount,issues,warnings,depthFlags
antigravity-1600-046d3804,3081,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential doubling model,A,165,3,,,
antigravity-1600-301418e0,3082,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,166,3,,,
antigravity-1600-06d135e3,3083,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential decay base rewrite,A,150,3,,,
antigravity-1600-b9dc8f7e,3084,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,A,126,3,,,
antigravity-1600-91d5d996,3085,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,A,174,3,,,
antigravity-1600-0e6d4824,3086,reviewed_core,core_pool,,Math,Advanced Math,Equivalent expressions,rational expression rewrite,A,175,3,,,
antigravity-1600-34bfc8a9,3087,reviewed_core,core_pool,,Math,Advanced Math,Equivalent expressions,polynomial remainder theorem,A,159,3,,,
antigravity-1600-b275eda3,3088,reviewed_core,core_pool,,Math,Advanced Math,Equivalent expressions,radical expression rewrite,A,150,3,,,
antigravity-1600-62a0dae9,3089,reviewed_core,core_pool,,Math,Algebra,Systems of two linear equations in two variables,linear system no-solution condition,A,199,3,,,
antigravity-1600-ae791745,3090,reviewed_core,core_pool,,Math,Algebra,Systems of two linear equations in two variables,symmetric linear system,A,175,3,,,
antigravity-1600-c55bd9f2,3091,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-9b7febc5,3092,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-69964d0d,3093,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-627a546f,3094,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-e08db4ce,3095,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-9608facb,3096,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-2c4f2419,3097,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-73a77f03,3098,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,C,219,3,,,
antigravity-1600-7746d79c,3099,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-6c54fc2b,3100,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-7a03915c,3101,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,C,219,3,,,
antigravity-1600-17d0c6e8,3102,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-6a973e85,3103,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-6feaffaa,3104,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-e959419b,3105,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-462c0201,3106,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-9ba9e867,3107,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-5a3bbc92,3108,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-87ff261a,3109,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-03d30177,3110,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-d2a9f1d4,3111,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-ca9e98cb,3112,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-27b1196a,3113,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-396812ce,3114,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-1f89d3d1,3115,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,C,219,3,,,
antigravity-1600-0647bc7c,3116,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-35028468,3117,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-52f89f41,3118,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-4bca3663,3119,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,C,219,3,,,
antigravity-1600-803c23e2,3120,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-d417e64f,3121,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-aaa33760,3122,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-c746fff7,3123,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-af989ea0,3124,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-adf42e91,3125,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,C,219,3,,,
antigravity-1600-2d727e1b,3126,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-b78aae1a,3127,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-6ce617c6,3128,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-3f9a2924,3129,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-a4d700d5,3130,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,C,219,3,,,
antigravity-1600-737a69c9,3131,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-547ad5d7,3132,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,C,219,3,,,
antigravity-1600-3b6a3fce,3133,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-b64f7c5c,3134,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-889a916a,3135,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-4d16c3f2,3136,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential decay base rewrite,C,171,3,,,
antigravity-1600-fb22e86d,3137,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential decay base rewrite,C,171,3,,,
antigravity-1600-01fa9e76,3138,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential decay base rewrite,B,171,3,,,
antigravity-1600-3ded81d4,3139,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-4d16c3f2,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-51a1a7ac,3140,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential decay base rewrite,C,171,3,,,
antigravity-1600-cb50b4f9,3141,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-01fa9e76,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-60f05399,3142,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential decay base rewrite,A,171,3,,,
antigravity-1600-6699526f,3143,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-4d16c3f2,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-6aa68132,3144,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-60f05399,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-cca17e86,3145,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-60f05399,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-bb8640f2,3146,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-fb22e86d,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-3ad23eab,3147,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-fb22e86d,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-e697ac30,3148,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-51a1a7ac,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-22531315,3149,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-51a1a7ac,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-001df8fb,3150,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-60f05399,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-6646cfd3,3151,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential decay base rewrite,D,171,3,,,
antigravity-1600-f608bab3,3152,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-fb22e86d,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-ac3cefef,3153,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-4d16c3f2,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-ba212e05,3154,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-01fa9e76,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-a0e38196,3155,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-01fa9e76,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-f5cdd3a2,3156,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-6646cfd3,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-277debcd,3157,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-01fa9e76,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-bcac4a06,3158,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-fb22e86d,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-ff041aed,3159,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-fb22e86d,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-94c6e97e,3160,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-6646cfd3,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-4fb7b72f,3161,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-6646cfd3,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-e31e2540,3162,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-6646cfd3,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-012dc9c6,3163,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-60f05399,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-6d40601c,3164,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-60f05399,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-37a7fc49,3165,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-51a1a7ac,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-b4f3ae4c,3166,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-6646cfd3,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-38748b0f,3167,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-01fa9e76,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-820b8cfc,3168,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-60f05399,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-ea5da753,3169,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-60f05399,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-a176ac2e,3170,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-fb22e86d,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-a8d53f3a,3171,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-51a1a7ac,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-8f82a35d,3172,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-60f05399,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-4a52a1d8,3173,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-fb22e86d,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-24551f8a,3174,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-4d16c3f2,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-67b6fa98,3175,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-01fa9e76,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-fb700fc6,3176,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-4d16c3f2,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-194a275b,3177,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-fb22e86d,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-4a138c4d,3178,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-4d16c3f2,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-f67d7221,3179,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-6646cfd3,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-cf4b5e6a,3180,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-6646cfd3,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-2f635dc7,3181,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,C,135,3,,,
antigravity-1600-2de4a555,3182,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,B,135,3,,,
antigravity-1600-e92bc194,3183,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,D,135,3,,,
antigravity-1600-34c39f1f,3184,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,A,135,3,,,
antigravity-1600-92ad07d7,3185,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,A,135,3,,,
antigravity-1600-ff1813d3,3186,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,B,135,3,,,
antigravity-1600-28c236bb,3187,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,B,135,3,,,
antigravity-1600-ad863c14,3188,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,D,135,3,,,
antigravity-1600-0c9d5e8f,3189,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,D,135,3,,,
antigravity-1600-18f124a7,3190,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,A,135,3,,,
antigravity-1600-31a6460f,3191,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,D,135,3,,,
antigravity-1600-cf344dac,3192,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,C,135,3,,,
antigravity-1600-aba28c2b,3193,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,D,135,3,,,
antigravity-1600-5f177ea9,3194,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,B,135,3,,,
antigravity-1600-083c4632,3195,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,A,135,3,,,
antigravity-1600-ed558013,3196,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,B,135,3,,,
antigravity-1600-3f205c3b,3197,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,C,135,3,,,
antigravity-1600-cfed1b41,3198,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,A,135,3,,,
antigravity-1600-e671c03f,3199,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,A,135,3,,,
antigravity-1600-af7bbc7a,3200,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,B,135,3,,,
antigravity-1600-19125439,3201,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,C,135,3,,,
antigravity-1600-91487eec,3202,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,A,135,3,,,
antigravity-1600-44bbf79c,3203,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,C,135,3,,,
antigravity-1600-f4c70904,3204,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,B,135,3,,,
antigravity-1600-c397dd64,3205,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,B,135,3,,,
antigravity-1600-bc26ec4f,3206,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,B,124,3,,,
antigravity-1600-e840d425,3207,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,B,124,3,,,
antigravity-1600-664f616a,3208,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,D,124,3,,,
antigravity-1600-19e35964,3209,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,C,124,3,,,
antigravity-1600-18d0dc6c,3210,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,D,124,3,,,
antigravity-1600-8c47015f,3211,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,B,124,3,,,
antigravity-1600-d2183c0e,3212,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,D,124,3,,,
antigravity-1600-43d4166a,3213,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,A,124,3,,,
antigravity-1600-12af3a92,3214,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,B,124,3,,,
antigravity-1600-58989ad6,3215,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,C,124,3,,,
antigravity-1600-2fe14a97,3216,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,B,124,3,,,
antigravity-1600-84838ba4,3217,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,A,124,3,,,
antigravity-1600-5f0421e1,3218,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,C,124,3,,,
antigravity-1600-cdcb8a96,3219,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,D,124,3,,,
antigravity-1600-dcdadefb,3220,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,D,124,3,,,
antigravity-1600-3ca15b3f,3221,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,B,124,3,,,
antigravity-1600-7606cc8b,3222,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-e840d425,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-2ebc5a69,3223,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,C,124,3,,,
antigravity-1600-926630dd,3224,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,A,124,3,,,
antigravity-1600-465ba085,3225,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-58989ad6,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-342981e8,3226,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-cdcb8a96,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-cd84899e,3227,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,C,124,3,,,
antigravity-1600-8d577891,3228,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-2ebc5a69,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-9c846be1,3229,reviewed_remedial,remedial_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,A,124,3,,,
antigravity-1600-3f6f4da8,3230,hidden_exact_duplicate,hidden_duplicate,antigravity-1600-d2183c0e,,,,,,,,exact_duplicate_prompt_within_new_antigravity_1600_batch,,
antigravity-1600-a74beddd,3231,reviewed_core,core_pool,,Math,Advanced Math,Equivalent expressions,rational expression rewrite,B,156,3,,,
antigravity-1600-cd35df6e,3232,reviewed_core,core_pool,,Math,Advanced Math,Equivalent expressions,rational expression rewrite,D,156,3,,,
antigravity-1600-2854210a,3233,reviewed_core,core_pool,,Math,Advanced Math,Equivalent expressions,rational expression rewrite,C,156,3,,,
