ordinal,id,originalReviewStatus,decision,section,domain,skill,difficulty,questionType,schemaChanges,blockers,issues,warnings,depthFlags,mathIssues,mathWarnings,requiredAction,promptPreview
6071,antigravity-hard-2d00f5d3,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,x²+y²=25 and y=x-1. Sum of x-values at intersection?
6072,antigravity-hard-6f8403ef,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=|x-2| and y=3. How many solutions?
6073,antigravity-hard-6241c837,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,System: y=x³ and y=8. Value of x?
6074,antigravity-hard-3d757e96,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=√(x+4) and y=x+2. Find x.
6075,antigravity-hard-3c810b11,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"If x+y=10 and xy=21, find x²+y²."
6076,antigravity-hard-41af31a4,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"y=2ˣ and y=x+2. At x=0, which is larger?"
6077,antigravity-hard-8fe67dd2,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,System: y=1/(x-1) and y=2. Solution x?
6078,antigravity-hard-2511eae7,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=x²+1 and y=-x²+9. Intersection x-values?
6079,antigravity-hard-f2d27673,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=ln(x) and y=0. Solution?
6080,antigravity-hard-68f3997f,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,x²-y²=0 and x+y=6. Solutions?
6081,antigravity-hard-8a51c597,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=e^x and y=e. Solution?
6082,antigravity-hard-202d09a8,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"If y=x² and y=ax intersect at (4,16) and origin, what is a?"
6083,antigravity-hard-8447de75,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,System: y=4/x and y=x-3. Positive x-solution?
6084,antigravity-hard-algebra-systems-word-1,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"A metallurgist wants to make 120 grams of an alloy that is 45% silver by mass. She has two alloys available: Alloy A, which is 30% silver by mass, and Alloy B, "
6085,antigravity-hard-algebra-systems-param-1,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"(k - 1)x + 4y = 10 3x + (k + 3)y = 15  In the given system of equations, k is a constant. If the system has no solution, what is the value of k?"
6086,antigravity-hard-advmath-nlfunc-compose-1,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,"The function f is defined by f(x) = a(x - h)² + k, where a, h, and k are constants and a > 0. The function g is defined by g(x) = -3f(x/2 + 1) + 4. In the xy-pl"
6087,antigravity-hard-algebra-linfunc-model-1,reviewed,reviewed_pass,Math,Algebra,Linear functions,Hard,multiple_choice,,,,,,,,Ready.,A commercial agricultural drone begins a flight with a full tank containing 60 liters of liquid fertilizer. The drone sprays the fertilizer at a constant rate o
6088,antigravity-hard-advmath-equiv-rational-1,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,"For x > 4, which of the following is equivalent to the given expression?  [ (3x² + 4x) / (x² - 16) - 2x / (x - 4) ] ÷ [ x² / (x + 4) ]"
6089,antigravity-hard-advmath-nonlineq-extran-1,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,2x - √(30 - 6x) = 4  What is the sum of the solutions to the given equation?
6090,antigravity-hard-advmath-nlfunc-exponential-1,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,An environmental agency models the population of a certain species of fish in a lake. The population is estimated to decrease by p percent every 6 years. The fu
6091,antigravity-hard-advmath-systems-nonlinear2-1,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"x² + y² - 4x - 2y = c 5x - 12y = 24  In the given system of equations, c is a constant. If the system has exactly one distinct real solution, what is the value "
6092,antigravity-hard-advmath-nonlineq-discrim-1,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"In the xy-plane, the graph of the parabola y = px² - 10x + 5 and the line y = 2x - p have no points of intersection. If p is a constant, which of the following "
6093,antigravity-hard-algebra-ineq-region-1,reviewed,reviewed_pass,Math,Algebra,Linear inequalities in one or two variables,Hard,multiple_choice,,,,,,,,Ready.,"In the xy-plane, a shaded region represents the solution set to the system of inequalities:  y ≤ -2x + b y ≥ 0.5x - 3 x ≥ 0  If b is a constant such that b > -3"
6094,antigravity-hard-algebra-systems-param,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"In the system of linear equations below, k is a constant.  (k - 1)x + 4y = k + 2 2x + (k + 1)y = 5  For which of the following values of k does the system have "
6095,antigravity-hard-algebra-systems-word,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"A landscaping company is creating a 500-pound mixture of grass seed from three different varieties: Fescue, Ryegrass, and Bluegrass. The mixture is formulated s"
6096,antigravity-hard-algebra-ineq-region,reviewed,reviewed_pass,Math,Algebra,Linear inequalities in one or two variables,Hard,multiple_choice,,,,,,,,Ready.,A system of two linear inequalities is graphed in the xy-plane. The first inequality is 3x - 2y ≥ 12. The boundary line of the second inequality is a dashed lin
6097,antigravity-hard-algebra-linfunc-model,reviewed,reviewed_pass,Math,Algebra,Linear functions,Hard,multiple_choice,,,,,,,,Ready.,"A large industrial water tank contains 12,000 gallons of water. A pump begins draining the tank at a constant rate. After 45 minutes, a second identical pump is"
6098,antigravity-hard-advmath-nonlineq-discrim,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"In the xy-plane, the parabola with equation y = kx² + 8x + 5 and the line with equation y = (4 - k)x + 1 intersect at exactly one point. If k is a non-zero cons"
6099,antigravity-hard-advmath-nonlineq-extran,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"The equation x - 3 = √(ax + b), where a and b are constants, has exactly one valid solution, x = 7, and exactly one extraneous solution, x = 2. What is the valu"
6100,antigravity-hard-advmath-nlfunc-exponential,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,A chemical substance decays such that its mass decreases by 20% every 8 hours. The initial mass of the substance is 500 grams. The function f(d) = 500(c)^d mode
6101,antigravity-hard-advmath-nlfunc-compose,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,"The function f is defined by f(x) = x² + 12x + c, where c is a constant. The function g is defined by g(x) = f(f(x)). If the equation g(x) = 0 has exactly three"
6102,antigravity-hard-advmath-systems-nonlinear2,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"x² + y² - 10x - 4y + 20 = 0 x + 2y = c  The system of equations above is graphed in the xy-plane. If the system has exactly one solution, what is the sum of the"
6103,antigravity-hard-algebra-lineq1-param,reviewed,reviewed_pass,Math,Algebra,Linear equations in one variable,Hard,multiple_choice,,,,,,,,Ready.,"The equation p(2x - 1) - q(3x + 1) = 2x - 6 is true for all real values of x, where p and q are constants. What is the value of pq?"
6104,antigravity-hard-algebra-ineq-context,reviewed,reviewed_pass,Math,Algebra,Linear inequalities in one or two variables,Hard,multiple_choice,,,,,,,,Ready.,"A contractor is purchasing two types of tiles: ceramic and porcelain. Ceramic tiles cost $4 per square foot, and porcelain tiles cost $7 per square foot. The co"
6105,antigravity-hard-algebra-linfunc-convert,reviewed,reviewed_pass,Math,Algebra,Linear functions,Hard,multiple_choice,,,,,,,,Ready.,"A table of values for the linear function f is given below, where a is a constant.   x | f(x) -1 | a  2 | 4a - 3  5 | a + 12  What is the value of f(a)?"
6106,antigravity-hard-algebra-lineq2-forms,reviewed,reviewed_pass,Math,Algebra,Linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"In the xy-plane, line j has equation (c - 1)x + 6y = 10 and line k has equation 2x + (c - 2)y = 15, where c is a positive constant. If lines j and k are paralle"
6107,antigravity-hard-advmath-equiv-structure,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,"If x > 0, which of the following is equivalent to the expression below?  (∛x ⋅ √x) / ∜(x³)"
6108,antigravity-hard-algebra-systems-param-ord6108,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"(k - 1)x + 3y = 9 2x + (k - 2)y = 6  In the given system of equations, k is a constant. For what value of k does the system have no solution?"
6109,antigravity-hard-algebra-systems-word-1-ord6109,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"A metallurgist is creating 100 grams of a new alloy that is 34% gold by mass. To produce this, she combines two existing alloys: one that is 20% gold by mass an"
6110,antigravity-hard-algebra-ineq-region-ord6110,reviewed,reviewed_pass,Math,Algebra,Linear inequalities in one or two variables,Hard,multiple_choice,,,,,,,,Ready.,"A shaded region in the xy-plane is defined by a system of two linear inequalities. The region's boundary consists of a solid line with an x-intercept of (8, 0) "
6111,antigravity-hard-algebra-linfunc-model-001,reviewed,reviewed_pass,Math,Algebra,Linear functions,Hard,multiple_choice,,,,,,,,Ready.,"An industrial reservoir initially contains 45,000 gallons of liquid. A primary drainage valve is opened, removing liquid at a constant rate of 600 gallons per h"
6112,antigravity-hard-advmath-equiv-rational,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,"For x > 5, which of the following is equivalent to the expression below?  [ x / (x - 5) - 50 / (x² - 25) ] ÷ [ (2x + 20) / (x² + 10x + 25) ]"
6113,antigravity-hard-advmath-nonlineq-discrim-ord6113,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"The system of equations below is graphed in the xy-plane.  y = px² - 2x + 5 y = 4x + k  In the equations above, p and k are constants, and p < 0. If the system "
6114,antigravity-hard-advmath-nlfunc-exponential-ord6114,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,"A city's population is experiencing a decline due to migration. The population decreases by 8% every 15 months. If the initial population was P₀, the population"
6115,antigravity-hard-advmath-nlfunc-compose-001,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,"The function f is defined by f(x) = 2x² - 12x + 10. The function g is defined by g(x) = |f(x + k)| - c, where k and c are constants. If the equation g(x) = 0 ha"
6116,antigravity-hard-advmath-systems-nonlinear2-01,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"In the xy-plane, the graph of the equation x² + y² - 10x + 8y + 5 = 0 and the line x - y = k intersect at exactly one point. If k is a constant, what is the gre"
6117,antigravity-hard-algebra-lineq1-param-ord6117,reviewed,reviewed_pass,Math,Algebra,Linear equations in one variable,Hard,multiple_choice,,,,,,,,Ready.,"m(x - 3) + 4x = k(2x + 1) - x  In the equation above, m and k are constants. If the equation has infinitely many solutions for x, what is the value of m + k?"
6118,antigravity-hard-algebra-linfunc-convert-ord6118,reviewed,reviewed_pass,Math,Algebra,Linear functions,Hard,multiple_choice,,,,,,,,Ready.,"The graph of a linear function f in the xy-plane passes through the points (a, 0) and (0, b), where a and b are positive constants. The slope of the graph of f "
6119,antigravity-hard-algebra-lineq2-forms-001,reviewed,reviewed_pass,Math,Algebra,Linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"In the xy-plane, line L has the equation mx - ny = 12, where m and n are positive constants. Line K is perpendicular to line L and passes through the point (n, "
6120,antigravity-hard-advmath-equiv-structure-ord6120,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,"For all x > 0 and y > 0, which of the following is equivalent to the expression (x^(5/6)y^(1/4)) / √(x∛(y²)) ?"
6121,antigravity-hard-algebra-systems-param-ord6121,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"cx + 8y = 4 2x + cy = c + 2  In the given system of equations, c is a constant. If the system has no solution, what is the value of c?"
6122,antigravity-hard-algebra-systems-word-001,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"A chemist has two different salt solutions: Solution X is m% salt by mass, and Solution Y is n% salt by mass. When 30 grams of Solution X are mixed with 20 gram"
6123,antigravity-hard-algebra-linfunc-model-ord6123,reviewed,reviewed_pass,Math,Algebra,Linear functions,Hard,multiple_choice,,,,,,,,Ready.,"A manufacturer depreciates the value of a certain heavy machine using straight-line depreciation. The machine was initially purchased for 120,000 dollars and is"
6124,antigravity-hard-advmath-equiv-rational-ord6124,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,Which of the following expressions is equivalent to  (4x - 16) / [ x/(x - 4) - (x + 4)/x ]  for all x > 4?
6125,antigravity-hard-advmath-nonlineq-discrim-ord6125,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"y = x² + kx - 1 y = x - k  In the xy-plane, the graphs of the given equations intersect at exactly one point. What is the sum of all possible values of the cons"
6126,antigravity-hard-advmath-nonlineq-extran-ord6126,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,What is the solution set for the equation √(7x - 3) = 2x - 3 ?
6127,antigravity-hard-advmath-nlfunc-exponential-ord6127,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,A farm's water reservoir experiences evaporation during a severe drought. The volume of water in the reservoir decreases by 10% every 8 hours. The initial volum
6128,antigravity-hard-advmath-nlfunc-compose-001-ord6128,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,"The functions f and g are defined by f(x) = x² + bx + c, where b and c are constants, and g(x) = -2f(x + 4) - 5. In the xy-plane, the graph of y = g(x) passes t"
6129,antigravity-hard-advmath-systems-nonlinear2-ord6129,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"x² + y² - 8x - 6y + 9 = 0 y = 0.75x + c  The system of equations above has exactly one real solution (x, y). If c > 0, what is the value of c?"
6130,antigravity-hard-algebra-lineq1-param-ord6130,reviewed,reviewed_pass,Math,Algebra,Linear equations in one variable,Hard,multiple_choice,,,,,,,,Ready.,"In the equation p(3x - 4) - q(2x + 1) = -4x - 13, p and q are constants. If the equation has infinitely many solutions for x, what is the value of p?"
6131,antigravity-hard-algebra-ineq-context-001,reviewed,reviewed_pass,Math,Algebra,Linear inequalities in one or two variables,Hard,multiple_choice,,,,,,,,Ready.,"A bakery produces two types of cakes: chocolate cakes and vanilla cakes. The cost to produce one chocolate cake is 25 dollars, and the cost to produce one vanil"
6132,antigravity-hard-algebra-lineq2-forms-001-ord6132,reviewed,reviewed_pass,Math,Algebra,Linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"3x - (k+2)y = 10 (k-2)x - 4y = c  In the given system of equations, k is a positive constant and c is a constant. If the system has no solution, what is the slo"
6133,antigravity-hard-advmath-equiv-structure-ord6133,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,"For all x > 0 and y > 0, which of the following expressions is equivalent to the expression below?  ( ∛(x⁴y²) ⋅ √(xy³) ) / ⁶√(x⁻¹y)"
6134,antigravity-hard-advmath-equiv-poly,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,"For x > 3, which of the following expressions is equivalent to:  [ (x - 2) - 4/(x + 1) ] / [ (x + 1) - 16/(x + 1) ]"
6135,antigravity-hard-advmath-nonlineq-group,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations,Hard,multiple_choice,,,,,,,,Ready.,"The equation ax³ - 2ax² - bx + 2b = 0, where a and b are positive constants, has exactly three distinct real roots. If the difference between the greatest and l"
6136,antigravity-hard-advmath-nlfunc-polygraph,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,"A polynomial function P(x) with real coefficients has exactly three distinct real roots: x = -5, x = 1, and x = 4. The graph of y = P(x) in the xy-plane crosses"
6137,antigravity-hard-psda-percent-seq,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,Percentages,Hard,multiple_choice,,,,,,,,Ready.,"The number of bacteria in a culture increases by x% every hour for 2 hours, and then decreases by y% in the third hour. If the number of bacteria at the end of "
6138,antigravity-hard-psda-data-margin,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,Data inferences,Hard,multiple_choice,,,,,,,,Ready.,An ecologist is studying the lengths of a particular species of fish in two different lakes. The ecologist selects a random sample of 200 fish from Lake X and c
6139,antigravity-hard-psda-rates-conversion-01,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,"Ratios, rates, proportional relationships",Hard,multiple_choice,,,,,,,,Ready.,An industrial desalination plant produces fresh water at a rate of 6300/11 liters every 2/11 of a second. The fresh water is immediately routed into filtration 
6140,antigravity-hard-psda-scatter-interpret,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,Scatterplots,Hard,multiple_choice,,,,,,,,Ready.,A researcher studied the relationship between the time students spent preparing for a certification exam and their final exam scores. The researcher created a s
6141,antigravity-hard-geom-volume-composite,reviewed,reviewed_pass,Math,Geometry and Trigonometry,Area and volume,Hard,multiple_choice,,,,,,,,Ready.,A new solid is created by removing a right circular cone from the interior of a solid right circular cylinder. The cone has the same circular top base as the cy
6142,antigravity-hard-geom-trig-similar,reviewed,reviewed_pass,Math,Geometry and Trigonometry,Right triangles and trigonometry,Hard,multiple_choice,,,,,,,,Ready.,"Right triangle LMN is similar to right triangle XYZ, where vertices L, M, and N correspond to vertices X, Y, and Z, respectively. Angle M is a right angle. The "
6143,antigravity-hard-geom-circle-sector,reviewed,reviewed_pass,Math,Geometry and Trigonometry,Circles,Hard,multiple_choice,,,,,,,,Ready.,A circle has a radius of r. A sector of the circle has a central angle of 3π/4 radians and an arc length of x. A second sector of the same circle has a central 
6144,antigravity-hard-geom-angles-parallel-772910,reviewed,reviewed_pass,Math,Geometry and Trigonometry,"Lines, angles, and triangles",Hard,multiple_choice,,,,,,,,Ready.,"Lines ℓ and k are parallel. Transversal line t intersects lines ℓ and k, forming a pair of same-side interior angles with measures (5x + 3y)° and (5x + y)°. A s"
6145,antigravity-hard-geom-trig-complement,reviewed,reviewed_pass,Math,Geometry and Trigonometry,Right triangles and trigonometry,Hard,multiple_choice,,,,,,,,Ready.,"Acute angles A and B satisfy the equation sin(A) = cos(B). If the measure of angle A, in degrees, is 8x + 45 and the measure of angle B, in degrees, is x² - 20x"
6146,antigravity-hard-algebra-lineq2-intercept,reviewed,reviewed_pass,Math,Algebra,Linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"A local coffee shop purchases two types of coffee beans: House Blend and Premium Roast. The House Blend beans cost 1.20 dollars per pound, and the Premium Roast"
6147,antigravity-hard-algebra-systems-ratio,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"2x + 5y = 25 (x - 2) / (y + 1) = 3 / 4  The solution to the given system of equations is (x, y). What is the value of x - y?"
6148,antigravity-hard-advmath-equiv-fractional,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,"For all x > 0 and y > 0, which of the following expressions is equivalent to the expression below?  [ (-8x⁶y⁻⁹)^(2/3) ] / [ (4x⁻²y⁴)^(-1/2) ]"
6149,antigravity-hard-advmath-nonlineq-subst,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,What is the sum of all real solutions to the equation (x² - 5x)² + 3(x² - 5x) - 40 = 0?
6150,antigravity-hard-advmath-nlfunc-vertex,reviewed,reviewed_pass,Math,Algebra,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,"In the xy-plane, a parabola has its vertex at (3, -4) and passes through the point (1, 4). Which of the following is the equation of the parabola?"
6151,antigravity-hard-psda-percent-reverse,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,Percentages,Hard,multiple_choice,,,,,,,,Ready.,"A furniture store purchases a couch at a wholesale cost. The store marks up the cost by 50% to establish the regular retail price. During a holiday sale, the re"
6152,antigravity-hard-psda-data-outlier,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,Data inferences,Hard,multiple_choice,,,,,,,,Ready.,"A company has 99 employees, and the mean of their annual salaries is 50,000. The median of these 99 salaries is 45,000, and the 51st lowest salary is 46,000. If"
6153,antigravity-hard-geom-circle-center,reviewed,reviewed_pass,Math,Geometry and Trigonometry,Circles,Hard,multiple_choice,,,,,,,,Ready.,"A circle in the xy-plane has a diameter with endpoints (a² - 3, b + 5) and (3a² + 11, 3b - 1). The center of the circle is located at the point (16, 12). What i"
6154,antigravity-hard-algebra-linfunc-intersect,reviewed,reviewed_pass,Math,Algebra,Linear functions,Hard,multiple_choice,,,,,,,,Ready.,"The linear functions f and g are defined by f(x) = c(x - 3) + 7d and g(x) = d(x - 3) + 7c, where c and d are constants such that c ≠ d. The graphs of y = f(x) a"
6155,antigravity-hard-advmath-equiv-division,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,"The expression (8x³ + ax² + bx + 2) / (2x - 1) is equivalent to 4x² - 3x + c + 7 / (2x - 1), where a, b, and c are constants. What is the value of a + b + c?"
6156,antigravity-hard-advmath-systems-sumx,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y = x² - 2x + 3 2y - 3x = 10  The system of equations above has two solutions. What is the sum of the x-coordinates of these solutions?
6157,antigravity-hard-alg-lineq-infsol,reviewed,reviewed_pass,Math,Algebra,Linear equations in one variable,Hard,multiple_choice,,,,,,,,Ready.,"2(3x - c) - 0.5(4x - 8) = cx - 4  In the given equation, c is a constant. If the equation has infinitely many solutions, what is the value of c?"
6158,antigravity-hard-alg-ineq-integer,reviewed,reviewed_pass,Math,Algebra,Linear inequalities in one or two variables,Hard,multiple_choice,,,,,,,,Ready.,An event organizer is renting rectangular tables and circular tables for a banquet. Each rectangular table seats 6 people and costs 40 dollars to rent. Each cir
6159,antigravity-hard-alg-linfunc-perp,reviewed,reviewed_pass,Math,Algebra,Linear functions,Hard,multiple_choice,,,,,,,,Ready.,"In the xy-plane, line L is defined by the equation ax + by = c, where a, b, and c are non-zero constants. Line K is perpendicular to line L and passes through t"
6160,antigravity-hard-adv-equiv-diffsq,reviewed,reviewed_pass,Math,Advanced Math,Equivalent expressions,Hard,multiple_choice,,,,,,,,Ready.,Which of the following expressions is equivalent to (3x² - 4y²)² - (2x² + 5y²)² ?
6161,antigravity-hard-adv-noneq-radical,reviewed,reviewed_pass,Math,Algebra,Nonlinear equations in one variable and systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,x + 1 + √(2x² + 5x - 3) = 0  What is the sum of all values of x that satisfy the equation above?
6162,antigravity-hard-adv-nonfunc-xint,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,"The function f is defined by f(x) = (cx² - 18x)(x² - 3x - 18)(x² + 25), where c is a positive constant. In the xy-plane, the graph of y = f(x) has exactly three"
6163,antigravity-hard-adv-nonfunc-min,reviewed,reviewed_pass,Math,Advanced Math,Nonlinear functions,Hard,multiple_choice,,,,,,,,Ready.,"The function f is defined by f(x) = 3x² - bx + c, where b and c are constants. The graph of y = f(x) in the xy-plane passes through the points (2, -7) and (6, -"
6164,antigravity-hard-psda-ratio-recipe-001,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,"Ratios, rates, proportional relationships",Hard,multiple_choice,,,,,,,,Ready.,"A manufacturer creates a custom ceramic blend by mixing three materials, Silica, Alumina, and Zirconia, in a mass ratio of 6:5:3, respectively. The manufacturer"
6165,antigravity-hard-psda-percent-compound,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,Percentages,Hard,multiple_choice,,,,,,,,Ready.,"An initial principal of P dollars is deposited into an account. For the first t years, the account earns an annual interest rate of r%, compounded annually. For"
6166,antigravity-hard-psda-data-stdev-1,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Hard,multiple_choice,,,,,,,,Ready.,"Data sets A and B both contain 41 values. The dot plot for data set A contains 35 dots at the value 20, and 3 dots each at the values 10 and 30. The dot plot fo"
6167,antigravity-hard-psda-scatter-expdecay,reviewed,reviewed_pass,Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Hard,multiple_choice,,,,,,,,Ready.,"A scatterplot in the xy-plane shows the relationship between two variables, x and y. An exponential model of the form y = a(b)^x is the curve of best fit for th"
6168,antigravity-hard-geom-tri-inequality,reviewed,reviewed_pass,Math,Geometry and Trigonometry,"Lines, angles, and triangles",Hard,multiple_choice,,,,,,,,Ready.,"The side lengths of a triangle are 2x + 1, x + 8, and 4x - 3. Which of the following inequalities represents all possible values of x?"
6169,antigravity-hard-geom-trig-3d,reviewed,reviewed_pass,Math,Geometry and Trigonometry,Right triangles and trigonometry,Hard,multiple_choice,,,,,,,,Ready.,"The sum of the lengths of all the edges of a rectangular box is 96, and the total surface area of the box is 368. What is the length of the space diagonal of th"
6170,antigravity-hard-geom-circ-eqpoint,reviewed,reviewed_pass,Math,Geometry and Trigonometry,Circles,Hard,multiple_choice,,,,,,,,Ready.,"The center of circle C in the xy-plane is (-√5, 2√2). If circle C passes through the point (2√5, -√2), which of the following is the equation of circle C?"
