topic,total,coreVisibleBefore,target,overflowBefore,movedToRemedial,unresolvedOverflow,candidateCount,sampleMovedIds
hypotenuse,96,91,35,56,56,0,84,"antigravity-1aa10986, antigravity-2c0cdd7d, antigravity-45ef40ee, antigravity-4824662a, antigravity-7942908c, antigravity-8a80c142, antigravity-8a931032, antigravity-ab6cde7c"
intersection,69,69,35,34,34,0,64,"antigravity-b308eff2, antigravity-35ed2518, antigravity-hard-2511eae7, antigravity-7f5a1858, antigravity-hard-2d00f5d3, antigravity-hard-0f0e220b, antigravity-hard-03db6e9c, antigravity-hard-5946cdd4"
rectangular,73,68,35,33,33,0,66,"antigravity-508328d7, antigravity-552f8df6, antigravity-69e9b105, antigravity-8f288538, antigravity-6a574ade, antigravity-7877deb5, antigravity-easy-18e3165b, antigravity-easy-3155ed46"
probability,67,67,35,32,32,0,59,"archive-ai-archive-signal-p-n-ies-sat-math-001, archive-ai-archive-signal-panda-sat-math-005, archive-ai-archive-signal-panda-sat-math-033, archive-ai-archive-signal-panda-sat-math-047, archive-ai-archive-signal-panda-sat-math-019, archive-ai-archive-signal-mcclenathan-mike-pwn-the-sat-math-guide-012, archive-ai-archive-signal-mcclenathan-mike-pwn-the-sat-math-guide-026, archive-ai-archive-signal-mcclenathan-mike-pwn-the-sat-math-guide-040"
relationship,63,63,35,28,28,0,56,"antigravity-b474f577, antigravity-b7327b95, antigravity-ab4f63fe, antigravity-cc84abac, antigravity-d3bb1c5f, antigravity-d15e9bc6, antigravity-95babc42, antigravity-easy-22516314"
y-intercept,61,61,35,26,26,0,53,"antigravity-20575ffc, antigravity-4c10afff, antigravity-d270089e, antigravity-f4293cd6, antigravity-0b4f364f, antigravity-6c3b9d7c, antigravity-85e494f8, antigravity-d81c58b7"
completes,59,59,35,24,24,0,57,"antigravity-ph2e1-a8cad45a, antigravity-ph2e1-47422f17, antigravity-easy-5a4c606f, antigravity-easy-59fb6977, antigravity-easy-b016d301, antigravity-easy-52a2e013, antigravity-easy-d60f1246, antigravity-easy-55b4f305"
infinitely,58,58,35,23,23,0,53,"antigravity-87e56577, antigravity-phA-cde0b9ed, antigravity-58393631, antigravity-bda7c22a, antigravity-1600-79ffaa11, antigravity-hard-438ebabd, antigravity-hard-212f9da9, antigravity-hard-1265fd00"
observations,57,57,35,22,22,0,56,"archive-ai-archive-signal-ivy-global-sat-2016-029, archive-ai-archive-signal-hi-hello-009, archive-ai-archive-signal-kaplan3-014, archive-ai-archive-signal-kaplan4-014, archive-ai-archive-signal-2017-05-vn-019, archive-ai-archive-signal-2019-may-us-sat-qas-039, archive-ai-archive-signal-2019-october-us-034, archive-ai-archive-signal-kaplan5-009"
satisfies,56,54,35,19,19,0,44,"antigravity-9e3296c0, antigravity-9f599b8b, antigravity-b0fa7e14, antigravity-ae3da765, strategy-math-224-20260525-085, strategy-math-224-20260525-086, antigravity-easy-026c2226, antigravity-easy-108cc274"
circular,65,52,35,17,17,0,51,"antigravity-b5fc507d, antigravity-easy-2e6366ca, antigravity-easy-69ecadfb, antigravity-easy-a84330c0, antigravity-easy-c630d371, antigravity-easy-f134d39d, archive-ai-archive-signal-hi-hello-027, archive-ai-archive-signal-ivy-global-sat-2016-023"
constants,63,51,35,16,16,0,49,"antigravity-easy-21f314c8, antigravity-easy-3b25d7b4, antigravity-easy-3e978a80, antigravity-easy-50bb225a, antigravity-easy-fac66998, antigravity-easy-18a93539, antigravity-easy-41d8f563, antigravity-easy-88d67b90"
positive,52,50,35,15,15,0,45,"antigravity-0106cf16, antigravity-3eac3e3d, antigravity-424f5072, antigravity-4843ff3b, antigravity-7852fba9, antigravity-9feba318, antigravity-a2ecda98, antigravity-b457707a"
interpretation,46,46,35,11,11,0,43,"antigravity-43690c06, antigravity-ph2e1-828d82ca, antigravity-b56f8d09, antigravity-c0778288, antigravity-ph1im-73b4840a, antigravity-ph2e3-89896fa4, antigravity-ph2e3-4f2b0f96, antigravity-ph2e3-8c59700f"
values,45,45,35,10,10,0,40,"antigravity-3d0d5c5f, antigravity-7ab69342, antigravity-phB-7b053a8b, antigravity-easy-4cc825c6, antigravity-easy-72c0c346, antigravity-easy-a4006b57, antigravity-easy-b578b2a4, antigravity-easy-e44dc5f2"
significantly,44,44,35,9,9,0,43,"antigravity-67bd04b8, antigravity-fd389694, antigravity-ph2e1-abd99eac, antigravity-ph2e1-fdadab09, antigravity-46c80915, antigravity-ab37b2fa, antigravity-easy-d639e6e0, antigravity-ph1qe-7d12e431"
fundraiser,53,42,35,7,7,0,41,"archive-ai-archive-signal-kaplan4-007, archive-ai-archive-signal-kaplan4-043, archive-ai-archive-signal-p-n-ies-sat-math-026, archive-ai-archive-signal-p-n-ies-sat-math-040, archive-ai-archive-signal-panda-sat-math-030, archive-ai-archive-signal-panda-sat-math-044, archive-ai-archive-signal-2019-october-us-015"
exactly,42,42,35,7,7,0,34,"antigravity-57b030fc, antigravity-01524404, antigravity-phA-a0c1eed7, antigravity-6776d91c, antigravity-5abf57e7, antigravity-hard-fafd0b8f, antigravity-hard-c389b019"
calibration,45,41,35,6,6,0,41,"sat1590-math-265, sat1590-math-255, sat1590-math-260, sat1590-math-245, sat1590-math-250, strategy-math-200-even-hard-20260525-192"
presentation,80,40,35,5,5,0,40,"archive-ai-archive-signal-2018-april-school-day-sat-also-may-2018-international-perfect-copy-mai-017, archive-ai-archive-signal-2018-april-school-day-sat-also-may-2018-international-perfect-copy-mai-018, archive-ai-archive-signal-2018-april-school-day-sat-also-may-2018-international-perfect-copy-mai-019, archive-ai-archive-signal-2018-april-school-day-sat-also-may-2018-international-perfect-copy-mai-020, archive-ai-archive-signal-cracking-sat-2020-prem-online-practice-test-6-answers-003"
coordinator,40,40,35,5,5,0,40,"strategy-math-200-20260525-133, strategy-math-200-20260525-138, strategy-math-200-20260525-052, strategy-math-200-20260525-061, strategy-math-200-20260525-129"
increased,44,39,35,4,4,0,33,"antigravity-d01d5fd1, antigravity-b416967c, antigravity-d58dc9df, antigravity-easy-1e2c8be9"
neighborhoods,43,38,35,3,3,0,36,"antigravity-ph2e1-b717adc1, antigravity-ph2e1-f0262daf, satking-rw-046"
approximately,37,37,35,2,2,0,37,"antigravity-dc746766, antigravity-c773635c"
